date,QV2M
2000-01-01,9.65
2000-01-02,10.035
2000-01-03,10.61
2000-01-04,9.5625
2000-01-05,8.24
2000-01-06,7.448333333333333
2000-01-07,6.945714285714286
2000-01-08,6.79125
2000-01-09,7.27888888888889
2000-01-10,7.328
2000-01-11,7.264545454545455
2000-01-12,7.358333333333333
2000-01-13,7.348461538461539
2000-01-14,7.0249999999999995
2000-01-15,6.781333333333333
2000-01-16,6.765
2000-01-17,6.895882352941177
2000-01-18,7.042222222222223
2000-01-19,7.004736842105263
2000-01-20,6.85
2000-01-21,6.623809523809523
2000-01-22,6.524545454545454
2000-01-23,6.559565217391304
2000-01-24,6.427083333333333
2000-01-25,6.252000000000001
2000-01-26,6.078076923076923
2000-01-27,5.941481481481481
2000-01-28,5.8549999999999995
2000-01-29,5.810344827586207
2000-01-30,5.7459999999999996
2000-01-31,5.518
2000-02-01,5.2826666666666675
2000-02-02,4.9879999999999995
2000-02-03,4.897
2000-02-04,4.920000000000001
2000-02-05,4.895666666666667
2000-02-06,4.858666666666666
2000-02-07,4.800999999999999
2000-02-08,4.5953333333333335
2000-02-09,4.499333333333333
2000-02-10,4.485666666666666
2000-02-11,4.533333333333333
2000-02-12,4.6209999999999996
2000-02-13,4.907666666666667
2000-02-14,5.080666666666667
2000-02-15,5.058000000000001
2000-02-16,5.066
2000-02-17,5.060999999999999
2000-02-18,5.240333333333334
2000-02-19,5.327333333333334
2000-02-20,5.385999999999999
2000-02-21,5.370666666666667
2000-02-22,5.2940000000000005
2000-02-23,5.412
2000-02-24,5.629333333333333
2000-02-25,5.869000000000001
2000-02-26,6.113666666666666
2000-02-27,6.248
2000-02-28,6.269
2000-02-29,6.356999999999999
2000-03-01,6.582333333333334
2000-03-02,6.669333333333333
2000-03-03,6.861333333333333
2000-03-04,6.958333333333333
2000-03-05,7.027333333333333
2000-03-06,7.123666666666667
2000-03-07,7.278999999999999
2000-03-08,7.431
2000-03-09,7.655666666666667
2000-03-10,7.927333333333333
2000-03-11,8.022333333333332
2000-03-12,7.807666666666666
2000-03-13,7.602666666666666
2000-03-14,7.4
2000-03-15,7.3919999999999995
2000-03-16,7.574666666666667
2000-03-17,7.510666666666666
2000-03-18,7.423333333333334
2000-03-19,7.334666666666666
2000-03-20,7.328
2000-03-21,7.429
2000-03-22,7.569666666666666
2000-03-23,7.677333333333333
2000-03-24,7.742999999999999
2000-03-25,7.826666666666667
2000-03-26,7.877666666666666
2000-03-27,7.850333333333333
2000-03-28,7.847333333333333
2000-03-29,7.944999999999999
2000-03-30,8.124333333333334
2000-03-31,8.100333333333333
2000-04-01,8.259333333333334
