date,QV2M
2000-01-01,9.65
2000-01-02,10.035
2000-01-03,10.61
2000-01-04,9.5625
2000-01-05,8.24
2000-01-06,7.448333333333333
2000-01-07,6.945714285714286
2000-01-08,6.79125
2000-01-09,7.27888888888889
2000-01-10,7.328
2000-01-11,7.264545454545455
2000-01-12,7.358333333333333
2000-01-13,7.348461538461539
2000-01-14,7.0249999999999995
2000-01-15,6.781333333333333
2000-01-16,6.765
2000-01-17,6.895882352941177
2000-01-18,7.042222222222223
2000-01-19,7.004736842105263
2000-01-20,6.85
2000-01-21,6.623809523809523
2000-01-22,6.524545454545454
2000-01-23,6.559565217391304
2000-01-24,6.427083333333333
2000-01-25,6.252000000000001
2000-01-26,6.078076923076923
2000-01-27,5.941481481481481
2000-01-28,5.8549999999999995
2000-01-29,5.810344827586207
2000-01-30,5.7459999999999996
2000-01-31,5.651290322580645
2000-02-01,5.5796875
2000-02-02,5.499090909090909
2000-02-03,5.445882352941176
2000-02-04,5.394285714285715
2000-02-05,5.321111111111112
2000-02-06,5.253513513513513
2000-02-07,5.220000000000001
2000-02-08,5.214615384615385
2000-02-09,5.2065
2000-02-10,5.231219512195121
2000-02-11,5.340476190476191
2000-02-12,5.445581395348837
2000-02-13,5.581363636363636
2000-02-14,5.647555555555555
2000-02-15,5.651739130434783
2000-02-16,5.727872340425532
2000-02-17,5.803958333333333
2000-02-18,5.924489795918368
2000-02-19,5.9364
2000-02-20,5.895686274509804
2000-02-21,5.858846153846154
2000-02-22,5.843207547169811
2000-02-23,5.863148148148149
2000-02-24,5.9123636363636365
2000-02-25,5.966071428571429
2000-02-26,6.032105263157894
2000-02-27,6.058275862068966
2000-02-28,6.043559322033898
2000-02-29,6.0515
2000-03-01,6.109180327868853
2000-03-02,6.106935483870967
2000-03-03,6.147777777777778
2000-03-04,6.15484375
2000-03-05,6.148
2000-03-06,6.140454545454546
2000-03-07,6.16044776119403
2000-03-08,6.195441176470588
2000-03-09,6.275942028985508
2000-03-10,6.372571428571429
2000-03-11,6.4105633802816895
2000-03-12,6.368472222222222
2000-03-13,6.332054794520548
2000-03-14,6.318648648648648
2000-03-15,6.345333333333333
2000-03-16,6.410789473684211
2000-03-17,6.422467532467532
2000-03-18,6.426794871794872
2000-03-19,6.46
2000-03-20,6.45825
2000-03-21,6.46358024691358
2000-03-22,6.484756097560975
2000-03-23,6.506144578313253
2000-03-24,6.534523809523809
2000-03-25,6.588
2000-03-26,6.632906976744185
2000-03-27,6.659080459770116
2000-03-28,6.668181818181818
2000-03-29,6.684494382022471
2000-03-30,6.742444444444445
2000-03-31,6.765604395604395
